Timestamp,Ticker,Price,Size,Side
1756656903.09258,STOCK_1100_PE,53.6,10,BUY
1756656903.1007965,STOCK_1100_PE,53.6,10,BUY
1756656903.1059377,STOCK_1100_PE,53.6,10,BUY
1756656903.1106708,STOCK_1100_PE,53.6,10,BUY
1756656903.115375,STOCK_1100_PE,53.6,6,BUY
1756656903.1163538,STOCK_1100_PE,53.6,4,BUY
1756656903.1207693,STOCK_1100_PE,53.6,10,BUY
1756656903.1251857,STOCK_1100_PE,53.6,10,BUY
1756656903.1301732,STOCK_1100_PE,53.6,10,BUY
1756656903.134721,STOCK_1100_PE,53.6,6,BUY
1756656903.139183,STOCK_1100_PE,53.25,10,BUY
1756656903.144237,STOCK_1100_PE,53.25,10,BUY
1756656903.1499536,STOCK_1100_PE,53.25,6,BUY
1756656903.1551235,STOCK_1100_PE,53.65,10,BUY
1756656903.160353,STOCK_1100_PE,53.65,10,BUY
1756656903.1692972,STOCK_1100_PE,53.9,10,BUY
1756656903.1748035,STOCK_1100_PE,53.9,10,BUY
1756656903.1796393,STOCK_1100_PE,53.9,10,BUY
1756656903.1850514,STOCK_1100_PE,53.9,9,BUY
1756656903.1899788,STOCK_1100_PE,54.05,10,BUY
1756656903.1945717,STOCK_1100_PE,54.05,10,BUY
1756656903.199982,STOCK_1100_PE,54.05,7,BUY
1756656903.205916,STOCK_1100_PE,54.05,10,BUY
1756656903.210862,STOCK_1100_PE,54.05,10,BUY
1756656903.215712,STOCK_1100_PE,54.05,10,BUY
1756656903.2202673,STOCK_1100_PE,54.05,1,BUY
1756656903.2248251,STOCK_1100_PE,54.1,10,BUY
1756656903.229339,STOCK_1100_PE,54.1,10,BUY
1756656903.2346578,STOCK_1100_PE,54.1,10,BUY
1756656903.2401483,STOCK_1100_PE,54.1,10,BUY
1756656903.2451823,STOCK_1100_PE,54.1,1,BUY
1756656903.2501853,STOCK_1100_PE,53.5,2,BUY
1756656903.2548213,STOCK_1100_PE,54.15,10,BUY
1756656903.259303,STOCK_1100_PE,54.15,10,BUY
1756656903.2643595,STOCK_1100_PE,54.15,10,BUY
1756656903.2697067,STOCK_1100_PE,54.15,10,BUY
1756656903.2749028,STOCK_1100_PE,54.15,1,BUY
1756656903.2759724,STOCK_1100_PE,54.15,9,BUY
1756656903.2808049,STOCK_1100_PE,54.15,3,BUY
1756656903.2818499,STOCK_1100_PE,54.15,7,BUY
1756656903.2863553,STOCK_1100_PE,54.15,10,BUY
1756656903.2907434,STOCK_1100_PE,54.15,10,BUY
1756656903.2954068,STOCK_1100_PE,54.15,10,BUY
1756656903.2999396,STOCK_1100_PE,54.15,6,BUY
1756656903.3044167,STOCK_1100_PE,54.2,10,BUY
1756656903.3089628,STOCK_1100_PE,54.2,10,BUY
1756656903.3136888,STOCK_1100_PE,54.2,10,BUY
1756656903.3181152,STOCK_1100_PE,54.2,3,BUY
1756656903.3226163,STOCK_1100_PE,53.8,10,BUY
1756656903.3274415,STOCK_1100_PE,53.8,10,BUY
1756656903.3320549,STOCK_1100_PE,53.8,10,BUY
1756656903.336816,STOCK_1100_PE,53.8,5,BUY
1756656903.341551,STOCK_1100_PE,54.25,10,BUY
1756656903.3460796,STOCK_1100_PE,54.25,10,BUY
1756656903.3506503,STOCK_1100_PE,54.25,3,BUY
1756656903.3551433,STOCK_1100_PE,54.35,10,BUY
1756656903.3596752,STOCK_1100_PE,54.35,10,BUY
1756656903.3642333,STOCK_1100_PE,54.35,10,BUY
1756656903.3686976,STOCK_1100_PE,54.35,1,BUY
1756656903.3696694,STOCK_1100_PE,54.35,9,BUY
1756656903.3741565,STOCK_1100_PE,54.35,10,BUY
1756656903.3787608,STOCK_1100_PE,54.35,5,BUY
1756656903.3832088,STOCK_1100_PE,54.3,10,BUY
1756656903.3875418,STOCK_1100_PE,54.3,2,BUY
1756656903.3923292,STOCK_1100_PE,54.45,10,BUY
1756656903.3970373,STOCK_1100_PE,54.65,10,BUY
1756656903.401425,STOCK_1100_PE,54.65,10,BUY
1756656903.4060824,STOCK_1100_PE,54.65,10,BUY
1756656903.6442165,STOCK_1100_PE,54.65,10,BUY
1756656903.7070506,STOCK_1100_PE,54.65,10,BUY
1756656903.7716713,STOCK_1100_PE,54.65,3,BUY
1756656903.8357074,STOCK_1100_PE,54.35,10,BUY
1756656903.8992069,STOCK_1100_PE,54.35,10,BUY
1756656903.961866,STOCK_1100_PE,54.35,10,BUY
1756656904.0251658,STOCK_1100_PE,54.35,10,BUY
1756656904.0877454,STOCK_1100_PE,54.8,10,BUY
1756656904.1511838,STOCK_1100_PE,54.8,10,BUY
1756656904.2163723,STOCK_1100_PE,54.8,9,BUY
1756656904.2795138,STOCK_1100_PE,54.65,10,BUY
1756656904.3432293,STOCK_1100_PE,54.65,10,BUY
1756656904.408236,STOCK_1100_PE,54.65,10,BUY
1756656904.4743595,STOCK_1100_PE,54.65,10,BUY
1756656904.5380101,STOCK_1100_PE,54.65,2,BUY
1756656904.6015074,STOCK_1100_PE,54.9,10,BUY
1756656904.6801007,STOCK_1100_PE,54.9,10,BUY
1756656904.7453322,STOCK_1100_PE,54.9,10,BUY
1756656904.8079276,STOCK_1100_PE,54.9,4,BUY
1756656904.8092244,STOCK_1100_PE,54.9,6,BUY
1756656904.872208,STOCK_1100_PE,54.9,10,BUY
1756656904.9371867,STOCK_1100_PE,54.9,2,BUY
1756656905.0014422,STOCK_1100_PE,54.5,10,BUY
1756656905.066788,STOCK_1100_PE,54.5,10,BUY
1756656905.1293027,STOCK_1100_PE,54.5,10,BUY
1756656905.1929133,STOCK_1100_PE,54.5,10,BUY
1756656905.258272,STOCK_1100_PE,54.5,2,BUY
1756656905.3206546,STOCK_1100_PE,54.85,10,BUY
1756656905.3840601,STOCK_1100_PE,54.85,10,BUY
1756656905.4459968,STOCK_1100_PE,54.85,10,BUY
1756656905.50994,STOCK_1100_PE,54.85,3,BUY
1756656905.5758073,STOCK_1100_PE,53.65,10,BUY
1756656905.6397703,STOCK_1100_PE,53.65,10,BUY
1756656905.7030995,STOCK_1100_PE,53.65,2,BUY
1756656905.767187,STOCK_1100_PE,54.0,7,BUY
1756656905.8307073,STOCK_1100_PE,53.7,4,BUY
1756656905.8941426,STOCK_1100_PE,54.85,10,BUY
1756656905.9570987,STOCK_1100_PE,54.85,10,BUY
1756656906.0209181,STOCK_1100_PE,54.85,10,BUY
1756656906.0838692,STOCK_1100_PE,54.85,10,BUY
1756656906.1480079,STOCK_1100_PE,54.85,5,BUY
1756656906.2114766,STOCK_1100_PE,53.5,10,BUY
1756656906.2760453,STOCK_1100_PE,53.5,10,BUY
1756656906.338571,STOCK_1100_PE,53.5,10,BUY
1756656906.4038725,STOCK_1100_PE,53.5,10,BUY
1756656906.467583,STOCK_1100_PE,53.5,5,BUY
1756656906.5323398,STOCK_1100_PE,53.8,10,BUY
1756656906.5933545,STOCK_1100_PE,53.8,10,BUY
1756656906.656454,STOCK_1100_PE,53.8,1,BUY
1756656906.7184289,STOCK_1100_PE,54.05,10,BUY
1756656906.7831957,STOCK_1100_PE,54.05,10,BUY
1756656906.8454201,STOCK_1100_PE,54.05,10,BUY
1756656906.9087665,STOCK_1100_PE,54.05,1,BUY
1756656906.9739146,STOCK_1100_PE,54.35,10,BUY
1756656907.038471,STOCK_1100_PE,54.35,10,BUY
1756656907.1023154,STOCK_1100_PE,54.6,10,BUY
1756656907.1675823,STOCK_1100_PE,54.6,10,BUY
1756656907.231915,STOCK_1100_PE,54.6,7,BUY
1756656907.2945898,STOCK_1100_PE,54.3,10,BUY
1756656907.3568242,STOCK_1100_PE,54.3,10,BUY
1756656907.420594,STOCK_1100_PE,54.3,1,BUY
1756656907.492142,STOCK_1100_PE,54.7,10,BUY
1756656907.5635087,STOCK_1100_PE,54.7,10,BUY
1756656907.6317728,STOCK_1100_PE,54.7,7,BUY
1756656907.7072604,STOCK_1100_PE,54.15,10,BUY
1756656907.7760897,STOCK_1100_PE,54.15,10,BUY
1756656907.8461108,STOCK_1100_PE,54.15,6,BUY
1756656907.9137344,STOCK_1100_PE,54.75,10,BUY
1756656907.9825876,STOCK_1100_PE,54.75,10,BUY
1756656908.0519435,STOCK_1100_PE,54.75,10,BUY
1756656908.1225216,STOCK_1100_PE,54.75,10,BUY
1756656908.1948814,STOCK_1100_PE,54.75,2,BUY
1756656908.2679942,STOCK_1100_PE,53.9,10,BUY
1756656908.336453,STOCK_1100_PE,53.9,10,BUY
1756656908.4000418,STOCK_1100_PE,53.9,2,BUY
1756656908.4669428,STOCK_1100_PE,53.8,10,BUY
1756656908.5314822,STOCK_1100_PE,53.45,1,BUY
1756656908.5957406,STOCK_1100_PE,53.85,10,BUY
1756656908.6583662,STOCK_1100_PE,53.85,10,BUY
1756656908.7225568,STOCK_1100_PE,53.85,10,BUY
1756656908.7871594,STOCK_1100_PE,53.85,9,BUY
1756656908.8519397,STOCK_1100_PE,54.95,10,BUY
1756656908.9155567,STOCK_1100_PE,54.95,10,BUY
1756656908.9788692,STOCK_1100_PE,54.95,4,BUY
1756656909.0417485,STOCK_1100_PE,55.0,10,BUY
1756656909.1066647,STOCK_1100_PE,54.45,10,BUY
1756656909.1711645,STOCK_1100_PE,54.45,6,BUY
1756656909.234583,STOCK_1100_PE,53.65,10,BUY
1756656909.299061,STOCK_1100_PE,53.65,10,BUY
1756656909.3618696,STOCK_1100_PE,53.65,10,BUY
1756656909.4259589,STOCK_1100_PE,53.65,10,BUY
1756656909.489503,STOCK_1100_PE,53.65,10,BUY
1756656909.5531824,STOCK_1100_PE,53.7,10,BUY
1756656909.6157582,STOCK_1100_PE,53.7,5,BUY
1756656909.6792257,STOCK_1100_PE,53.85,10,BUY
1756656909.7447164,STOCK_1100_PE,53.85,10,BUY
1756656909.8086178,STOCK_1100_PE,53.85,10,BUY
1756656909.871809,STOCK_1100_PE,53.85,10,BUY
1756656909.935673,STOCK_1100_PE,53.85,9,BUY
1756656909.9990823,STOCK_1100_PE,54.2,10,BUY
1756656910.0629926,STOCK_1100_PE,54.2,4,BUY
1756656910.126239,STOCK_1100_PE,53.4,10,BUY
1756656910.189792,STOCK_1100_PE,53.4,2,BUY
1756656910.2547164,STOCK_1100_PE,53.8,10,BUY
1756656910.3203442,STOCK_1100_PE,53.8,10,BUY
1756656910.3853614,STOCK_1100_PE,53.8,10,BUY
1756656910.448825,STOCK_1100_PE,53.8,2,BUY
1756656910.5135615,STOCK_1100_PE,54.45,10,BUY
1756656910.5777519,STOCK_1100_PE,54.45,10,BUY
1756656910.6420681,STOCK_1100_PE,53.95,10,BUY
1756656910.7086463,STOCK_1100_PE,53.95,10,BUY
1756656910.7719464,STOCK_1100_PE,53.95,10,BUY
1756656910.8367481,STOCK_1100_PE,53.95,4,BUY
1756656910.900859,STOCK_1100_PE,54.35,10,BUY
1756656910.9655979,STOCK_1100_PE,54.35,4,BUY
1756656911.0303638,STOCK_1100_PE,53.7,10,BUY
1756656911.0934362,STOCK_1100_PE,53.7,8,BUY
1756656911.1575475,STOCK_1100_PE,54.8,10,BUY
1756656911.22111,STOCK_1100_PE,54.8,7,BUY
1756656911.2868583,STOCK_1100_PE,53.7,10,BUY
1756656911.3513956,STOCK_1100_PE,53.7,10,BUY
1756656911.4160595,STOCK_1100_PE,53.7,1,BUY
1756656911.4779282,STOCK_1100_PE,55.1,10,BUY
1756656911.54329,STOCK_1100_PE,54.1,10,BUY
1756656911.6061046,STOCK_1100_PE,54.1,10,BUY
1756656911.6696255,STOCK_1100_PE,54.1,10,BUY
1756656911.7346761,STOCK_1100_PE,54.1,5,BUY
1756656911.8000987,STOCK_1100_PE,55.05,10,BUY
1756656911.8632438,STOCK_1100_PE,55.05,10,BUY
1756656911.9274595,STOCK_1100_PE,55.05,6,BUY
1756656911.9904835,STOCK_1100_PE,53.5,10,BUY
1756656912.0536108,STOCK_1100_PE,53.5,10,BUY
1756656912.11939,STOCK_1100_PE,53.5,10,BUY
1756656912.1850681,STOCK_1100_PE,53.5,10,BUY
1756656912.250852,STOCK_1100_PE,53.5,8,BUY
1756656912.31572,STOCK_1100_PE,54.15,6,BUY
1756656912.3793547,STOCK_1100_PE,54.7,10,BUY
1756656912.441321,STOCK_1100_PE,54.7,10,BUY
1756656912.5054889,STOCK_1100_PE,54.7,1,BUY
1756656912.5688307,STOCK_1100_PE,53.25,10,BUY
1756656912.6332958,STOCK_1100_PE,53.25,10,BUY
1756656912.6958964,STOCK_1100_PE,53.25,10,BUY
1756656912.7589674,STOCK_1100_PE,53.25,10,BUY
1756656912.8229043,STOCK_1100_PE,53.25,6,BUY
1756656912.8870354,STOCK_1100_PE,54.7,10,BUY
1756656912.950233,STOCK_1100_PE,54.7,10,BUY
1756656913.0141232,STOCK_1100_PE,54.7,5,BUY
1756656913.079089,STOCK_1100_PE,54.6,2,BUY
1756656913.1420116,STOCK_1100_PE,55.1,9,BUY
1756656913.1432726,STOCK_1100_PE,55.1,1,BUY
1756656913.205291,STOCK_1100_PE,55.1,10,BUY
1756656913.2681699,STOCK_1100_PE,55.1,10,BUY
1756656913.334003,STOCK_1100_PE,55.1,10,BUY
1756656913.3967528,STOCK_1100_PE,55.1,10,BUY
1756656913.4607735,STOCK_1100_PE,55.1,2,BUY
1756656913.46207,STOCK_1100_PE,55.1,7,BUY
1756656913.526331,STOCK_1100_PE,53.7,10,BUY
1756656913.588862,STOCK_1100_PE,53.7,4,BUY
1756656913.6530142,STOCK_1100_PE,54.25,10,BUY
1756656913.7181578,STOCK_1100_PE,54.25,10,BUY
1756656913.7817354,STOCK_1100_PE,54.25,1,BUY
1756656913.8471844,STOCK_1100_PE,54.4,4,BUY
1756656913.913193,STOCK_1100_PE,53.45,10,BUY
1756656913.978593,STOCK_1100_PE,53.45,10,BUY
1756656914.0459785,STOCK_1100_PE,53.45,10,BUY
1756656914.1134086,STOCK_1100_PE,53.55,10,BUY
1756656914.1805265,STOCK_1100_PE,53.55,10,BUY
1756656914.2477767,STOCK_1100_PE,53.55,10,BUY
1756656914.315345,STOCK_1100_PE,53.55,10,BUY
1756656914.383617,STOCK_1100_PE,53.55,2,BUY
1756656914.4522889,STOCK_1100_PE,54.75,10,BUY
1756656914.5197468,STOCK_1100_PE,54.75,10,BUY
1756656914.5895965,STOCK_1100_PE,54.75,8,BUY
1756656914.658808,STOCK_1100_PE,55.05,10,BUY
1756656914.7277884,STOCK_1100_PE,55.05,10,BUY
1756656914.7935588,STOCK_1100_PE,55.05,10,BUY
1756656914.858986,STOCK_1100_PE,55.05,10,BUY
1756656914.9235735,STOCK_1100_PE,55.1,10,BUY
1756656914.9890826,STOCK_1100_PE,55.1,6,BUY
1756656915.054089,STOCK_1100_PE,54.45,10,BUY
1756656915.1186662,STOCK_1100_PE,54.45,10,BUY
1756656915.1821427,STOCK_1100_PE,54.45,10,BUY
1756656915.24617,STOCK_1100_PE,54.45,4,BUY
1756656915.311889,STOCK_1100_PE,53.8,10,BUY
1756656915.3768044,STOCK_1100_PE,53.8,9,BUY
1756656915.4441123,STOCK_1100_PE,53.9,10,BUY
1756656915.507469,STOCK_1100_PE,53.9,10,BUY
1756656915.5733054,STOCK_1100_PE,53.9,10,BUY
1756656915.6362612,STOCK_1100_PE,53.9,10,BUY
1756656915.6996217,STOCK_1100_PE,53.75,10,BUY
1756656915.7646973,STOCK_1100_PE,53.75,10,BUY
1756656915.8294697,STOCK_1100_PE,53.75,10,BUY
1756656915.8940344,STOCK_1100_PE,53.75,10,BUY
1756656915.9575286,STOCK_1100_PE,53.75,2,BUY
1756656916.020624,STOCK_1100_PE,54.6,10,BUY
1756656916.084942,STOCK_1100_PE,54.6,10,BUY
1756656916.1488109,STOCK_1100_PE,54.6,4,BUY
1756656916.210992,STOCK_1100_PE,54.4,9,BUY
1756656916.2756572,STOCK_1100_PE,55.15,7,BUY
1756656916.2770534,STOCK_1100_PE,55.15,3,BUY
1756656916.3412473,STOCK_1100_PE,55.15,10,BUY
1756656916.405798,STOCK_1100_PE,55.15,1,BUY
1756656916.4710824,STOCK_1100_PE,55.0,10,BUY
1756656916.5341542,STOCK_1100_PE,54.45,10,BUY
1756656916.597788,STOCK_1100_PE,54.45,10,BUY
1756656916.6586637,STOCK_1100_PE,54.45,7,BUY
1756656916.7373908,STOCK_1100_PE,54.1,10,BUY
1756656916.8010445,STOCK_1100_PE,54.1,10,BUY
1756656916.8640866,STOCK_1100_PE,54.1,10,BUY
1756656916.9277732,STOCK_1100_PE,54.1,7,BUY
1756656916.9906693,STOCK_1100_PE,55.1,10,BUY
1756656917.0521138,STOCK_1100_PE,55.1,10,BUY
1756656917.115889,STOCK_1100_PE,55.1,10,BUY
1756656917.1770957,STOCK_1100_PE,55.1,7,BUY
1756656917.2425842,STOCK_1100_PE,54.3,10,BUY
1756656917.306677,STOCK_1100_PE,54.3,10,BUY
1756656917.3716028,STOCK_1100_PE,54.3,2,BUY
1756656917.4336946,STOCK_1100_PE,55.15,10,BUY
1756656917.4977727,STOCK_1100_PE,55.15,10,BUY
1756656917.5607345,STOCK_1100_PE,54.6,7,BUY
1756656917.6233356,STOCK_1100_PE,53.25,10,BUY
1756656917.687235,STOCK_1100_PE,53.25,10,BUY
1756656917.7504823,STOCK_1100_PE,53.25,10,BUY
1756656917.8132298,STOCK_1100_PE,53.25,2,BUY
1756656917.87669,STOCK_1100_PE,54.2,10,BUY
1756656917.938125,STOCK_1100_PE,54.2,10,BUY
1756656918.0016413,STOCK_1100_PE,54.2,10,BUY
1756656918.065307,STOCK_1100_PE,54.2,7,BUY
1756656918.1288824,STOCK_1100_PE,53.5,10,BUY
1756656918.1926692,STOCK_1100_PE,53.5,10,BUY
1756656918.2581966,STOCK_1100_PE,53.5,10,BUY
1756656918.3253715,STOCK_1100_PE,53.5,10,BUY
1756656918.3891053,STOCK_1100_PE,53.5,8,BUY
1756656918.4537537,STOCK_1100_PE,55.0,10,BUY
1756656918.5184197,STOCK_1100_PE,55.0,10,BUY
1756656918.580571,STOCK_1100_PE,55.0,10,BUY
1756656918.6439,STOCK_1100_PE,55.0,10,BUY
1756656918.7074578,STOCK_1100_PE,55.0,8,BUY
1756656918.7696211,STOCK_1100_PE,54.85,2,BUY
1756656918.8321753,STOCK_1100_PE,54.25,10,BUY
1756656918.8950047,STOCK_1100_PE,54.25,10,BUY
1756656918.9580398,STOCK_1100_PE,54.25,4,BUY
1756656919.0216093,STOCK_1100_PE,54.8,10,BUY
1756656919.0851943,STOCK_1100_PE,54.8,10,BUY
1756656919.1490107,STOCK_1100_PE,54.8,10,BUY
1756656919.2136652,STOCK_1100_PE,54.8,1,BUY
1756656919.2781923,STOCK_1100_PE,53.65,4,BUY
1756656919.3458252,STOCK_1100_PE,54.15,10,BUY
1756656919.408914,STOCK_1100_PE,54.15,4,BUY
1756656919.4768605,STOCK_1100_PE,54.8,10,BUY
1756656919.550257,STOCK_1100_PE,54.8,10,BUY
1756656919.6228194,STOCK_1100_PE,54.65,10,BUY
1756656919.6915398,STOCK_1100_PE,54.65,10,BUY
1756656919.7607772,STOCK_1100_PE,54.65,10,BUY
1756656919.8304324,STOCK_1100_PE,54.65,10,BUY
1756656919.904345,STOCK_1100_PE,54.65,10,BUY
1756656919.97297,STOCK_1100_PE,53.85,10,BUY
1756656920.0467713,STOCK_1100_PE,53.85,10,BUY
1756656920.1186986,STOCK_1100_PE,53.85,10,BUY
1756656920.1902895,STOCK_1100_PE,53.85,4,BUY
1756656920.261112,STOCK_1100_PE,55.15,7,BUY
1756656920.3284745,STOCK_1100_PE,53.3,5,BUY
1756656920.3956962,STOCK_1100_PE,54.1,10,BUY
1756656920.458719,STOCK_1100_PE,54.1,10,BUY
1756656920.5225015,STOCK_1100_PE,54.1,10,BUY
1756656920.5862088,STOCK_1100_PE,54.1,10,BUY
1756656920.650523,STOCK_1100_PE,54.1,2,BUY
1756656920.7160783,STOCK_1100_PE,54.55,10,BUY
1756656920.7817292,STOCK_1100_PE,54.55,10,BUY
1756656920.8463538,STOCK_1100_PE,54.55,2,BUY
1756656920.9239585,STOCK_1100_PE,54.05,10,BUY
1756656920.9968145,STOCK_1100_PE,54.05,5,BUY
1756656921.070414,STOCK_1100_PE,54.8,7,BUY
1756656921.140697,STOCK_1100_PE,53.45,10,BUY
1756656921.2156856,STOCK_1100_PE,53.45,10,BUY
1756656921.2889316,STOCK_1100_PE,53.45,10,BUY
1756656921.3572435,STOCK_1100_PE,53.45,10,BUY
1756656921.427129,STOCK_1100_PE,53.45,10,BUY
1756656921.4952023,STOCK_1100_PE,53.45,10,BUY
1756656921.5604467,STOCK_1100_PE,53.45,4,BUY
1756656921.6309743,STOCK_1100_PE,54.25,10,BUY
1756656921.7008824,STOCK_1100_PE,54.25,10,BUY
1756656921.770286,STOCK_1100_PE,54.25,4,BUY
1756656921.8398225,STOCK_1100_PE,53.95,10,BUY
1756656921.9068353,STOCK_1100_PE,53.95,10,BUY
1756656921.9712303,STOCK_1100_PE,53.95,10,BUY
1756656922.0354552,STOCK_1100_PE,53.95,10,BUY
1756656922.1008139,STOCK_1100_PE,53.95,4,BUY
1756656922.1632705,STOCK_1100_PE,53.7,10,BUY
1756656922.2282584,STOCK_1100_PE,53.7,3,BUY
1756656922.2927086,STOCK_1100_PE,54.7,10,BUY
1756656922.3694668,STOCK_1100_PE,54.7,10,BUY
1756656922.4510155,STOCK_1100_PE,54.7,10,BUY
1756656922.5241523,STOCK_1100_PE,54.7,1,BUY
1756656922.5944152,STOCK_1100_PE,54.55,10,BUY
1756656922.6672494,STOCK_1100_PE,54.55,5,BUY
1756656922.7404883,STOCK_1100_PE,53.6,10,BUY
1756656922.8253217,STOCK_1100_PE,53.6,10,BUY
1756656922.9208155,STOCK_1100_PE,53.6,10,BUY
1756656923.0279703,STOCK_1100_PE,53.6,8,BUY
1756656923.1184626,STOCK_1100_PE,53.95,10,BUY
1756656923.2282414,STOCK_1100_PE,53.95,3,BUY
1756656923.3190627,STOCK_1100_PE,53.9,10,BUY
1756656923.4168363,STOCK_1100_PE,53.9,10,BUY
1756656923.4980748,STOCK_1100_PE,53.9,1,BUY
1756656923.577366,STOCK_1100_PE,53.45,10,BUY
1756656923.6540258,STOCK_1100_PE,53.45,10,BUY
1756656923.7390356,STOCK_1100_PE,53.45,5,BUY
1756656923.819886,STOCK_1100_PE,54.8,10,BUY
1756656923.8975985,STOCK_1100_PE,54.8,10,BUY
1756656923.9726377,STOCK_1100_PE,54.8,10,BUY
1756656924.0426273,STOCK_1100_PE,54.8,6,BUY
1756656924.1170957,STOCK_1100_PE,55.0,10,BUY
1756656924.185797,STOCK_1100_PE,55.0,10,BUY
1756656924.6948805,STOCK_1045_PE,51.9,2,BUY
